student_id,full_name,roll_number,class_section,biometric_id,subject_code,subject_name,total_classes,present,late,absent,failed_scans,attendance_pct,detention_status
UGF23AI100,Namrata Prasad Patel,A01,CSE-AIML-A,BIO0100,AIPC350T,Deep Learning,44,32,2,10,4,77.27,OK
UGF23AI101,Jatin Kumar Ambhore,B01,CSE-AIML-B,BIO0101,AIPC350T,Deep Learning,44,29,2,13,1,70.45,DETAINED
UGF23AI102,Mohit Shankar Gaikwad,C01,CSE-AIML-C,BIO0102,AIPC350T,Deep Learning,44,25,1,18,1,59.09,DETAINED
UGF23AI103,Suresh Londhe,A02,CSE-AIML-A,BIO0103,AIPC350T,Deep Learning,44,34,4,6,0,86.36,OK
UGF23AI104,Anjali Nath More,B02,CSE-AIML-B,BIO0104,AIPC350T,Deep Learning,44,28,2,14,0,68.18,DETAINED
UGF23AI105,Vikas Raj Mukherjee,C02,CSE-AIML-C,BIO0105,AIPC350T,Deep Learning,44,28,3,13,4,70.45,DETAINED
UGF23AI106,Manish Das Ambhore,A03,CSE-AIML-A,BIO0106,AIPC350T,Deep Learning,44,38,5,1,3,97.73,OK
UGF23AI107,Mohit Nath Gangurde,B03,CSE-AIML-B,BIO0107,AIPC350T,Deep Learning,44,31,7,6,4,86.36,OK
UGF23AI108,Kamla Ram Mehta,C03,CSE-AIML-C,BIO0108,AIPC350T,Deep Learning,44,31,3,10,1,77.27,OK
UGF23AI109,Mohit Rao Agarwal,A04,CSE-AIML-A,BIO0109,AIPC350T,Deep Learning,44,16,5,23,1,47.73,DETAINED
UGF23AI110,Farhan Nair,B04,CSE-AIML-B,BIO0110,AIPC350T,Deep Learning,44,35,9,0,2,100.0,OK
UGF23AI111,Mithun Iyer,C04,CSE-AIML-C,BIO0111,AIPC350T,Deep Learning,44,24,7,13,0,70.45,DETAINED
UGF23AI112,Ravi Kumar Joshi,A05,CSE-AIML-A,BIO0112,AIPC350T,Deep Learning,44,35,6,3,0,93.18,OK
UGF23AI113,Farhan Dange,B05,CSE-AIML-B,BIO0113,AIPC350T,Deep Learning,44,29,3,12,1,72.73,DETAINED
UGF23AI114,Onkar Prasad Mishra,C05,CSE-AIML-C,BIO0114,AIPC350T,Deep Learning,44,41,2,1,3,97.73,OK
UGF23AI115,Divya Zende,A06,CSE-AIML-A,BIO0115,AIPC350T,Deep Learning,44,33,7,4,0,90.91,OK
UGF23AI116,Nikhil Prakash Hatwar,B06,CSE-AIML-B,BIO0116,AIPC350T,Deep Learning,44,29,3,12,0,72.73,DETAINED
UGF23AI117,Bhushan Raj Chatterjee,C06,CSE-AIML-C,BIO0117,AIPC350T,Deep Learning,44,29,3,12,0,72.73,DETAINED
UGF23AI118,Gunjan Pandey,A07,CSE-AIML-A,BIO0118,AIPC350T,Deep Learning,44,29,5,10,3,77.27,OK
UGF23AI119,Fatima Lal Ahuja,B07,CSE-AIML-B,BIO0119,AIPC350T,Deep Learning,44,38,4,2,2,95.45,OK
UGF23AI120,Farhan Devi Pandey,C07,CSE-AIML-C,BIO0120,AIPC350T,Deep Learning,44,36,4,4,1,90.91,OK
UGF23AI121,Manish Chand Mehta,A08,CSE-AIML-A,BIO0121,AIPC350T,Deep Learning,44,28,6,10,1,77.27,OK
UGF23AI122,Iqbal Raj Pillai,B08,CSE-AIML-B,BIO0122,AIPC350T,Deep Learning,44,29,6,9,5,79.55,OK
UGF23AI123,Kavya Devi Yadav,C08,CSE-AIML-C,BIO0123,AIPC350T,Deep Learning,44,0,0,44,0,0.0,DETAINED
