fail_log_id,student_id,full_name,biometric_id,date,time,device_id,device_name,subject_code,fail_reason,match_score,attempt_no
FAIL0000001,UGF23AI115,Divya Zende,BIO0115,2024-07-01,09:03:00,RDR-BIO-001,ZKTeco K40,AIPC350T,Timeout,30.21,1
FAIL0000002,UGF23AI119,Fatima Lal Ahuja,BIO0119,2024-07-01,09:01:00,RDR-BIO-001,ZKTeco K40,AIPC350T,Scar/Cut on Finger,9.56,1
FAIL0000003,UGF23AI124,Priya Das Shah,BIO0124,2024-07-01,09:03:00,RDR-BIO-001,ZKTeco K40,AIPC350T,Partial Print,17.96,1
FAIL0000004,UGF23AI124,Priya Das Shah,BIO0124,2024-07-01,09:03:00,RDR-BIO-001,ZKTeco K40,AIPC350T,Sensor Dirty,4.01,2
FAIL0000005,UGF23AI127,Indira Sai Hegde,BIO0127,2024-07-01,09:25:00,RDR-BIO-001,ZKTeco K40,AIPC350T,Wet Finger,2.12,1
FAIL0000006,UGF23AI127,Indira Sai Hegde,BIO0127,2024-07-01,09:25:00,RDR-BIO-001,ZKTeco K40,AIPC350T,Low Quality Image,14.06,2
FAIL0000007,UGF23AI129,Chetna Lal Ghosh,BIO0129,2024-07-01,09:03:00,RDR-BIO-001,ZKTeco K40,AIPC350T,Timeout,1.67,1
FAIL0000008,UGF23AI129,Chetna Lal Ghosh,BIO0129,2024-07-01,09:03:00,RDR-BIO-001,ZKTeco K40,AIPC350T,Wet Finger,16.45,2
FAIL0000009,UGF23AI165,Abhishek Bala Patel,BIO0165,2024-07-01,09:00:00,RDR-BIO-001,ZKTeco K40,AIPC350T,Partial Print,30.05,1
FAIL0000010,UGF23AI183,Ekta Raj Vaidya,BIO0183,2024-07-01,09:00:00,RDR-BIO-001,ZKTeco K40,AIPC350T,Low Quality Image,36.31,1
FAIL0000011,UGF23AI183,Ekta Raj Vaidya,BIO0183,2024-07-01,09:00:00,RDR-BIO-001,ZKTeco K40,AIPC350T,Timeout,28.5,2
FAIL0000012,UGF23AI195,Ramesh Ghosh,BIO0195,2024-07-01,09:23:00,RDR-BIO-001,ZKTeco K40,AIPC350T,Partial Print,17.06,1
FAIL0000013,UGF23AI199,Yash Ghosh,BIO0199,2024-07-01,09:01:00,RDR-BIO-001,ZKTeco K40,AIPC350T,Partial Print,38.18,1
FAIL0000014,UGF23AI204,Priti Ram Dubey,BIO0204,2024-07-01,09:01:00,RDR-BIO-001,ZKTeco K40,AIPC350T,Finger Rotated,30.15,1
FAIL0000015,UGF23AI204,Priti Ram Dubey,BIO0204,2024-07-01,09:01:00,RDR-BIO-001,ZKTeco K40,AIPC350T,Finger Rotated,38.3,2
FAIL0000016,UGF23AI208,Akash Rao Rao,BIO0208,2024-07-01,09:01:00,RDR-BIO-001,ZKTeco K40,AIPC350T,Partial Print,33.06,1
FAIL0000017,UGF23AI210,Seema Mane,BIO0210,2024-07-01,09:00:00,RDR-BIO-001,ZKTeco K40,AIPC350T,Partial Print,27.46,1
FAIL0000018,UGF23AI210,Seema Mane,BIO0210,2024-07-01,09:00:00,RDR-BIO-001,ZKTeco K40,AIPC350T,Dry Finger,16.52,2
FAIL0000019,UGF23AI214,Dev Das Londhe,BIO0214,2024-07-01,09:02:00,RDR-BIO-001,ZKTeco K40,AIPC350T,Low Quality Image,22.87,1
FAIL0000020,UGF23AI235,Tariq Thakur,BIO0235,2024-07-01,09:03:00,RDR-BIO-001,ZKTeco K40,AIPC350T,Finger Rotated,36.06,1
FAIL0000021,UGF23AI241,Anjali Das Mishra,BIO0241,2024-07-01,09:03:00,RDR-BIO-001,ZKTeco K40,AIPC350T,Sensor Dirty,5.7,1
FAIL0000022,UGF23AI242,Ravi Das Tiwari,BIO0242,2024-07-01,09:00:00,RDR-BIO-001,ZKTeco K40,AIPC350T,Dry Finger,16.23,1
FAIL0000023,UGF23AI249,Arjun Ingle,BIO0249,2024-07-01,09:01:00,RDR-BIO-001,ZKTeco K40,AIPC350T,Finger Rotated,35.62,1
