gate_log_id,full_name,student_id,roll_number,class_section,biometric_id,finger_used,match_score,scan_quality,date,entry_time,exit_time,duration_hrs,device_id,device_name,reader_location
GATE0000001,Namrata Prasad Patel,UGF23AI100,A01,CSE-AIML-A,BIO0100,Right Index,92.87,Average,2024-07-01,08:01:52,16:37:12,8.59,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000002,Jatin Kumar Ambhore,UGF23AI101,B01,CSE-AIML-B,BIO0101,Right Ring,89.01,Good,2024-07-01,08:44:22,16:44:17,8.0,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000003,Mohit Shankar Gaikwad,UGF23AI102,C01,CSE-AIML-C,BIO0102,Right Middle,75.25,Average,2024-07-01,08:45:19,16:19:50,7.58,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000004,Suresh Londhe,UGF23AI103,A02,CSE-AIML-A,BIO0103,Right Thumb,91.56,Excellent,2024-07-01,08:56:56,16:04:01,7.12,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000005,Anjali Nath More,UGF23AI104,B02,CSE-AIML-B,BIO0104,Right Thumb,75.81,Excellent,2024-07-01,08:58:58,16:58:42,8.0,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000006,Vikas Raj Mukherjee,UGF23AI105,C02,CSE-AIML-C,BIO0105,Right Middle,93.58,Good,2024-07-01,08:47:08,16:47:40,8.01,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000007,Manish Das Ambhore,UGF23AI106,A03,CSE-AIML-A,BIO0106,Right Ring,77.98,Excellent,2024-07-01,08:08:26,16:53:52,8.76,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000008,Mohit Nath Gangurde,UGF23AI107,B03,CSE-AIML-B,BIO0107,Right Little,89.47,Poor,2024-07-01,08:28:31,16:37:46,8.15,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000009,Kamla Ram Mehta,UGF23AI108,C03,CSE-AIML-C,BIO0108,Right Thumb,75.8,Average,2024-07-01,08:41:45,16:47:45,8.1,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000010,Mohit Rao Agarwal,UGF23AI109,A04,CSE-AIML-A,BIO0109,Right Little,93.36,Good,2024-07-01,08:37:51,16:51:29,8.23,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000011,Farhan Nair,UGF23AI110,B04,CSE-AIML-B,BIO0110,Right Little,97.29,Excellent,2024-07-01,08:12:14,16:26:42,8.24,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000012,Mithun Iyer,UGF23AI111,C04,CSE-AIML-C,BIO0111,Right Ring,80.53,Poor,2024-07-01,08:40:08,16:58:58,8.31,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000013,Ravi Kumar Joshi,UGF23AI112,A05,CSE-AIML-A,BIO0112,Right Thumb,77.58,Good,2024-07-01,08:47:35,16:36:06,7.81,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000014,Farhan Dange,UGF23AI113,B05,CSE-AIML-B,BIO0113,Right Ring,80.21,Average,2024-07-01,08:45:04,16:34:27,7.82,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000015,Onkar Prasad Mishra,UGF23AI114,C05,CSE-AIML-C,BIO0114,Right Index,87.58,Excellent,2024-07-01,08:06:41,16:43:06,8.61,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000016,Divya Zende,UGF23AI115,A06,CSE-AIML-A,BIO0115,Right Thumb,84.74,Good,2024-07-01,08:28:46,16:47:47,8.32,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000017,Nikhil Prakash Hatwar,UGF23AI116,B06,CSE-AIML-B,BIO0116,Right Middle,85.46,Good,2024-07-01,08:45:54,16:44:49,7.98,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000018,Bhushan Raj Chatterjee,UGF23AI117,C06,CSE-AIML-C,BIO0117,Right Little,83.07,Good,2024-07-01,08:50:00,16:08:36,7.31,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000019,Gunjan Pandey,UGF23AI118,A07,CSE-AIML-A,BIO0118,Right Thumb,95.9,Good,2024-07-01,08:49:04,16:03:52,7.25,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000020,Fatima Lal Ahuja,UGF23AI119,B07,CSE-AIML-B,BIO0119,Right Thumb,83.03,Good,2024-07-01,08:56:01,16:55:26,7.99,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000021,Farhan Devi Pandey,UGF23AI120,C07,CSE-AIML-C,BIO0120,Right Little,91.44,Average,2024-07-01,08:37:58,16:16:32,7.64,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000022,Manish Chand Mehta,UGF23AI121,A08,CSE-AIML-A,BIO0121,Right Middle,85.68,Excellent,2024-07-01,08:10:02,16:08:26,7.97,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000023,Iqbal Raj Pillai,UGF23AI122,B08,CSE-AIML-B,BIO0122,Right Thumb,81.54,Good,2024-07-01,08:09:32,16:49:39,8.67,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000024,Priya Das Shah,UGF23AI124,A09,CSE-AIML-A,BIO0124,Right Little,78.5,Average,2024-07-01,08:32:54,16:10:38,7.63,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000025,Hina Das Thakur,UGF23AI125,B09,CSE-AIML-B,BIO0125,Right Ring,89.99,Average,2024-07-01,08:24:21,16:50:41,8.44,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000026,Rajesh Shankar Chavan,UGF23AI126,C09,CSE-AIML-C,BIO0126,Right Middle,87.09,Good,2024-07-01,08:49:48,16:50:37,8.01,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000027,Indira Sai Hegde,UGF23AI127,A10,CSE-AIML-A,BIO0127,Right Little,79.6,Good,2024-07-01,08:36:57,16:52:00,8.25,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000028,Amrita Shankar Londhe,UGF23AI128,B10,CSE-AIML-B,BIO0128,Right Little,99.01,Good,2024-07-01,08:44:55,16:00:04,7.25,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000029,Chetna Lal Ghosh,UGF23AI129,C10,CSE-AIML-C,BIO0129,Right Little,96.85,Excellent,2024-07-01,08:36:17,16:06:59,7.51,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000030,Lalit Shankar Salve,UGF23AI130,A11,CSE-AIML-A,BIO0130,Right Thumb,77.98,Excellent,2024-07-01,08:38:49,16:21:07,7.71,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000031,Pooja Lal Patel,UGF23AI131,B11,CSE-AIML-B,BIO0131,Right Thumb,87.58,Poor,2024-07-01,08:22:46,16:32:56,8.17,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000032,Abhishek Kumar Shah,UGF23AI132,C11,CSE-AIML-C,BIO0132,Right Ring,86.46,Good,2024-07-01,08:04:23,16:12:16,8.13,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000033,Indira Ram Ingole,UGF23AI133,A12,CSE-AIML-A,BIO0133,Right Ring,80.36,Good,2024-07-01,08:10:22,16:45:44,8.59,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000034,Wasim Nambiar,UGF23AI134,B12,CSE-AIML-B,BIO0134,Right Index,92.9,Average,2024-07-01,08:41:21,16:15:08,7.56,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000035,Dev Sai Dalvi,UGF23AI135,C12,CSE-AIML-C,BIO0135,Right Thumb,86.61,Good,2024-07-01,08:16:31,16:58:20,8.7,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000036,Jagdish Naik,UGF23AI136,A13,CSE-AIML-A,BIO0136,Right Ring,77.96,Good,2024-07-01,08:03:04,16:11:57,8.15,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000037,Sarita Prakash Bhatia,UGF23AI137,B13,CSE-AIML-B,BIO0137,Right Thumb,81.67,Average,2024-07-01,08:17:44,16:08:26,7.84,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000038,Shruti Prakash Das,UGF23AI138,C13,CSE-AIML-C,BIO0138,Right Ring,85.41,Excellent,2024-07-01,08:24:25,16:33:18,8.15,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000039,Zara Das Rao,UGF23AI139,A14,CSE-AIML-A,BIO0139,Right Index,78.58,Excellent,2024-07-01,08:35:17,16:34:19,7.98,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000040,Sandeep Rao Bhatia,UGF23AI140,B14,CSE-AIML-B,BIO0140,Right Index,86.98,Average,2024-07-01,08:27:29,16:16:07,7.81,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000041,Devika Shankar Joshi,UGF23AI141,C14,CSE-AIML-C,BIO0141,Right Thumb,93.76,Good,2024-07-01,08:49:15,16:04:59,7.26,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000042,Chetan Devi Raut,UGF23AI142,A15,CSE-AIML-A,BIO0142,Right Ring,76.05,Average,2024-07-01,08:17:16,16:35:47,8.31,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000043,Siddharth Vaghmare,UGF23AI143,B15,CSE-AIML-B,BIO0143,Right Middle,94.84,Poor,2024-07-01,08:17:25,16:45:26,8.47,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000044,Tejas Ram Deshpande,UGF23AI144,C15,CSE-AIML-C,BIO0144,Right Middle,85.16,Average,2024-07-01,08:34:40,16:05:06,7.51,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000045,Hina Ambhore,UGF23AI145,A16,CSE-AIML-A,BIO0145,Right Ring,91.45,Good,2024-07-01,08:36:23,16:58:46,8.37,RDR-BIO-000,ZKTeco K40,Main Gate
