log_id,full_name,student_id,roll_number,class_section,biometric_id,date,time_in,time_out,attendance_status,fingerprint_template,finger_used,match_score,scan_quality,scan_attempts,scan_result,device_id,device_name,subject_code,subject_name,day,reader_location,biometric_status
BIO00000001,Namrata Prasad Patel,UGF23AI100,A01,CSE-AIML-A,BIO0100,2024-07-01,09:01:00,09:55:00,Present,FP-UGF23AI100-F01,Right Index,94.12,Good,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000002,Jatin Kumar Ambhore,UGF23AI101,B01,CSE-AIML-B,BIO0101,2024-07-01,09:00:00,09:55:00,Present,FP-UGF23AI101-F03,Right Ring,88.85,Excellent,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000003,Mohit Shankar Gaikwad,UGF23AI102,C01,CSE-AIML-C,BIO0102,2024-07-01,09:01:00,10:05:00,Present,FP-UGF23AI102-F02,Right Middle,81.07,Excellent,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000004,Suresh Londhe,UGF23AI103,A02,CSE-AIML-A,BIO0103,2024-07-01,09:03:00,10:01:00,Present,FP-UGF23AI103-F00,Right Thumb,89.12,Good,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000005,Anjali Nath More,UGF23AI104,B02,CSE-AIML-B,BIO0104,2024-07-01,09:03:00,09:51:00,Present,FP-UGF23AI104-F00,Right Thumb,89.74,Good,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000006,Vikas Raj Mukherjee,UGF23AI105,C02,CSE-AIML-C,BIO0105,2024-07-01,,,Absent,FP-UGF23AI105-F02,Right Middle,0.0,,0,No Scan,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000007,Manish Das Ambhore,UGF23AI106,A03,CSE-AIML-A,BIO0106,2024-07-01,09:00:00,10:04:00,Present,FP-UGF23AI106-F03,Right Ring,77.71,Average,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000008,Mohit Nath Gangurde,UGF23AI107,B03,CSE-AIML-B,BIO0107,2024-07-01,09:00:00,09:47:00,Present,FP-UGF23AI107-F04,Right Little,80.42,Excellent,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000009,Kamla Ram Mehta,UGF23AI108,C03,CSE-AIML-C,BIO0108,2024-07-01,09:01:00,09:50:00,Present,FP-UGF23AI108-F00,Right Thumb,86.28,Excellent,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000010,Mohit Rao Agarwal,UGF23AI109,A04,CSE-AIML-A,BIO0109,2024-07-01,09:02:00,09:56:00,Present,FP-UGF23AI109-F04,Right Little,89.2,Average,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000011,Farhan Nair,UGF23AI110,B04,CSE-AIML-B,BIO0110,2024-07-01,09:02:00,09:49:00,Present,FP-UGF23AI110-F04,Right Little,89.51,Good,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000012,Mithun Iyer,UGF23AI111,C04,CSE-AIML-C,BIO0111,2024-07-01,,,Absent,FP-UGF23AI111-F03,Right Ring,0.0,,0,No Scan,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000013,Ravi Kumar Joshi,UGF23AI112,A05,CSE-AIML-A,BIO0112,2024-07-01,09:23:00,10:08:00,Late,FP-UGF23AI112-F00,Right Thumb,92.51,Average,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
