template_id,biometric_id,student_id,full_name,finger_name,hand,minutiae_count,template_size_bytes,image_quality_score,enrollment_device,enrollment_date,template_format,status
FP-UGF23AI100-F01,BIO0100,UGF23AI100,Namrata Prasad Patel,Right Index,Right,34,461,74,ZKTeco SF100,2024-06-19,ISO 19794-2,Active
FP-UGF23AI100-F04,BIO0100,UGF23AI100,Namrata Prasad Patel,Right Little,Right,72,410,78,ZKTeco SF100,2024-06-19,ISO 19794-2,Active
FP-UGF23AI101-F03,BIO0101,UGF23AI101,Jatin Kumar Ambhore,Right Ring,Right,56,512,94,Secugen Hamster Pro,2024-06-06,ISO 19794-2,Active
FP-UGF23AI101-F07,BIO0101,UGF23AI101,Jatin Kumar Ambhore,Left Middle,Left,44,432,72,Secugen Hamster Pro,2024-06-06,ISO 19794-2,Active
FP-UGF23AI102-F02,BIO0102,UGF23AI102,Mohit Shankar Gaikwad,Right Middle,Right,18,490,60,ZKTeco K40,2024-06-14,ISO 19794-2,Active
FP-UGF23AI102-F07,BIO0102,UGF23AI102,Mohit Shankar Gaikwad,Left Middle,Left,54,466,67,ZKTeco K40,2024-06-14,ISO 19794-2,Active
FP-UGF23AI103-F00,BIO0103,UGF23AI103,Suresh Londhe,Right Thumb,Right,51,400,84,ZKTeco K40,2024-06-04,ISO 19794-2,Active
FP-UGF23AI103-F08,BIO0103,UGF23AI103,Suresh Londhe,Left Ring,Left,59,426,80,ZKTeco K40,2024-06-04,ISO 19794-2,Active
FP-UGF23AI104-F00,BIO0104,UGF23AI104,Anjali Nath More,Right Thumb,Right,44,446,66,Mantra MFS100,2024-06-05,ISO 19794-2,Active
FP-UGF23AI104-F09,BIO0104,UGF23AI104,Anjali Nath More,Left Little,Left,27,454,97,Mantra MFS100,2024-06-05,ISO 19794-2,Active
FP-UGF23AI105-F02,BIO0105,UGF23AI105,Vikas Raj Mukherjee,Right Middle,Right,34,433,94,Startek FM220U,2024-06-16,ISO 19794-2,Active
FP-UGF23AI105-F08,BIO0105,UGF23AI105,Vikas Raj Mukherjee,Left Ring,Left,45,472,83,Startek FM220U,2024-06-16,ISO 19794-2,Active
FP-UGF23AI106-F03,BIO0106,UGF23AI106,Manish Das Ambhore,Right Ring,Right,57,435,85,Secugen Hamster Pro,2024-06-03,ISO 19794-2,Active
FP-UGF23AI106-F00,BIO0106,UGF23AI106,Manish Das Ambhore,Right Thumb,Right,66,426,86,Secugen Hamster Pro,2024-06-03,ISO 19794-2,Active
FP-UGF23AI107-F04,BIO0107,UGF23AI107,Mohit Nath Gangurde,Right Little,Right,53,500,95,Startek FM220U,2024-06-14,ISO 19794-2,Active
FP-UGF23AI107-F09,BIO0107,UGF23AI107,Mohit Nath Gangurde,Left Little,Left,48,422,83,Startek FM220U,2024-06-14,ISO 19794-2,Active
FP-UGF23AI108-F00,BIO0108,UGF23AI108,Kamla Ram Mehta,Right Thumb,Right,53,471,90,Startek FM220U,2024-06-21,ISO 19794-2,Active
FP-UGF23AI108-F09,BIO0108,UGF23AI108,Kamla Ram Mehta,Left Little,Left,34,439,96,Startek FM220U,2024-06-21,ISO 19794-2,Active
FP-UGF23AI109-F04,BIO0109,UGF23AI109,Mohit Rao Agarwal,Right Little,Right,40,499,85,ZKTeco K40,2024-06-10,ISO 19794-2,Active
FP-UGF23AI109-F03,BIO0109,UGF23AI109,Mohit Rao Agarwal,Right Ring,Right,65,417,67,ZKTeco K40,2024-06-10,ISO 19794-2,Active
FP-UGF23AI110-F04,BIO0110,UGF23AI110,Farhan Nair,Right Little,Right,65,429,88,ZKTeco K40,2024-06-11,ISO 19794-2,Active
FP-UGF23AI110-F07,BIO0110,UGF23AI110,Farhan Nair,Left Middle,Left,68,489,70,ZKTeco K40,2024-06-11,ISO 19794-2,Active
FP-UGF23AI111-F03,BIO0111,UGF23AI111,Mithun Iyer,Right Ring,Right,24,427,92,Mantra MFS100,2024-06-14,ISO 19794-2,Active
FP-UGF23AI111-F09,BIO0111,UGF23AI111,Mithun Iyer,Left Little,Left,43,500,81,Mantra MFS100,2024-06-14,ISO 19794-2,Active
FP-UGF23AI112-F00,BIO0112,UGF23AI112,Ravi Kumar Joshi,Right Thumb,Right,69,470,99,ZKTeco SF100,2024-06-25,ISO 19794-2,Active
FP-UGF23AI112-F03,BIO0112,UGF23AI112,Ravi Kumar Joshi,Right Ring,Right,62,487,63,ZKTeco SF100,2024-06-25,ISO 19794-2,Active
FP-UGF23AI113-F03,BIO0113,UGF23AI113,Farhan Dange,Right Ring,Right,28,449,60,Startek FM220U,2024-06-01,ISO 19794-2,Active
FP-UGF23AI113-F00,BIO0113,UGF23AI113,Farhan Dange,Right Thumb,Right,69,411,69,Startek FM220U,2024-06-01,ISO 19794-2,Active
FP-UGF23AI114-F01,BIO0114,UGF23AI114,Onkar Prasad Mishra,Right Index,Right,48,476,87,ZKTeco K40,2024-06-16,ISO 19794-2,Active
FP-UGF23AI114-F04,BIO0114,UGF23AI114,Onkar Prasad Mishra,Right Little,Right,23,408,76,ZKTeco K40,2024-06-16,ISO 19794-2,Active
FP-UGF23AI115-F00,BIO0115,UGF23AI115,Divya Zende,Right Thumb,Right,32,447,65,Secugen Hamster Pro,2024-06-06,ISO 19794-2,Active
FP-UGF23AI115-F07,BIO0115,UGF23AI115,Divya Zende,Left Middle,Left,56,404,84,Secugen Hamster Pro,2024-06-06,ISO 19794-2,Active
FP-UGF23AI116-F02,BIO0116,UGF23AI116,Nikhil Prakash Hatwar,Right Middle,Right,43,478,93,Startek FM220U,2024-06-01,ISO 19794-2,Active
FP-UGF23AI116-F00,BIO0116,UGF23AI116,Nikhil Prakash Hatwar,Right Thumb,Right,36,491,98,Startek FM220U,2024-06-01,ISO 19794-2,Active
FP-UGF23AI117-F04,BIO0117,UGF23AI117,Bhushan Raj Chatterjee,Right Little,Right,21,499,71,Startek FM220U,2024-06-08,ISO 19794-2,Active
FP-UGF23AI117-F03,BIO0117,UGF23AI117,Bhushan Raj Chatterjee,Right Ring,Right,58,463,88,Startek FM220U,2024-06-08,ISO 19794-2,Active
FP-UGF23AI118-F00,BIO0118,UGF23AI118,Gunjan Pandey,Right Thumb,Right,18,425,93,Secugen Hamster Pro,2024-06-25,ISO 19794-2,Active
FP-UGF23AI118-F06,BIO0118,UGF23AI118,Gunjan Pandey,Left Index,Left,36,424,62,Secugen Hamster Pro,2024-06-25,ISO 19794-2,Active
FP-UGF23AI119-F00,BIO0119,UGF23AI119,Fatima Lal Ahuja,Right Thumb,Right,68,476,92,ZKTeco K40,2024-06-02,ISO 19794-2,Active
FP-UGF23AI119-F03,BIO0119,UGF23AI119,Fatima Lal Ahuja,Right Ring,Right,51,489,74,ZKTeco K40,2024-06-02,ISO 19794-2,Active
FP-UGF23AI120-F04,BIO0120,UGF23AI120,Farhan Devi Pandey,Right Little,Right,57,421,62,Startek FM220U,2024-06-21,ISO 19794-2,Active
FP-UGF23AI120-F01,BIO0120,UGF23AI120,Farhan Devi Pandey,Right Index,Right,41,430,60,Startek FM220U,2024-06-21,ISO 19794-2,Active
FP-UGF23AI121-F02,BIO0121,UGF23AI121,Manish Chand Mehta,Right Middle,Right,28,411,77,ZKTeco SF100,2024-06-09,ISO 19794-2,Active
FP-UGF23AI121-F09,BIO0121,UGF23AI121,Manish Chand Mehta,Left Little,Left,67,451,82,ZKTeco SF100,2024-06-09,ISO 19794-2,Active
FP-UGF23AI122-F00,BIO0122,UGF23AI122,Iqbal Raj Pillai,Right Thumb,Right,60,450,85,ZKTeco K40,2024-06-18,ISO 19794-2,Active
FP-UGF23AI122-F07,BIO0122,UGF23AI122,Iqbal Raj Pillai,Left Middle,Left,55,425,93,ZKTeco K40,2024-06-18,ISO 19794-2,Active
FP-UGF23AI123-F04,BIO0123,UGF23AI123,Kavya Devi Yadav,Right Little,Right,18,494,64,Secugen Hamster Pro,2024-06-15,ISO 19794-2,Inactive
FP-UGF23AI123-F00,BIO0123,UGF23AI123,Kavya Devi Yadav,Right Thumb,Right,23,470,78,Secugen Hamster Pro,2024-06-15,ISO 19794-2,Inactive
FP-UGF23AI124-F04,BIO0124,UGF23AI124,Priya Das Shah,Right Little,Right,64,506,95,Startek FM220U,2024-06-09,ISO 19794-2,Active
FP-UGF23AI124-F06,BIO0124,UGF23AI124,Priya Das Shah,Left Index,Left,55,444,82,Startek FM220U,2024-06-09,ISO 19794-2,Active
FP-UGF23AI125-F03,BIO0125,UGF23AI125,Hina Das Thakur,Right Ring,Right,70,435,74,ZKTeco K40,2024-06-04,ISO 19794-2,Active
FP-UGF23AI125-F04,BIO0125,UGF23AI125,Hina Das Thakur,Right Little,Right,56,424,89,ZKTeco K40,2024-06-04,ISO 19794-2,Active
FP-UGF23AI126-F02,BIO0126,UGF23AI126,Rajesh Shankar Chavan,Right Middle,Right,43,473,60,Mantra MFS100,2024-06-24,ISO 19794-2,Active
FP-UGF23AI126-F05,BIO0126,UGF23AI126,Rajesh Shankar Chavan,Left Thumb,Left,34,422,86,Mantra MFS100,2024-06-24,ISO 19794-2,Active
FP-UGF23AI127-F04,BIO0127,UGF23AI127,Indira Sai Hegde,Right Little,Right,50,413,95,Startek FM220U,2024-06-16,ISO 19794-2,Active
FP-UGF23AI127-F09,BIO0127,UGF23AI127,Indira Sai Hegde,Left Little,Left,22,464,78,Startek FM220U,2024-06-16,ISO 19794-2,Active
FP-UGF23AI128-F04,BIO0128,UGF23AI128,Amrita Shankar Londhe,Right Little,Right,39,414,92,Mantra MFS100,2024-06-05,ISO 19794-2,Active
FP-UGF23AI128-F07,BIO0128,UGF23AI128,Amrita Shankar Londhe,Left Middle,Left,34,512,94,Mantra MFS100,2024-06-05,ISO 19794-2,Active
FP-UGF23AI129-F04,BIO0129,UGF23AI129,Chetna Lal Ghosh,Right Little,Right,70,501,96,ZKTeco SF100,2024-06-14,ISO 19794-2,Active
FP-UGF23AI129-F06,BIO0129,UGF23AI129,Chetna Lal Ghosh,Left Index,Left,34,488,88,ZKTeco SF100,2024-06-14,ISO 19794-2,Active
