full_name,first_name,middle_name,last_name,gender,date_of_birth,student_id,roll_number,enrollment_number,department,course,year_semester,class_section,mobile_number,email_id,guardian_name,parent_contact,biometric_id,registered_finger,fingerprint_template,minutiae_count,enrollment_device,enrollment_date,biometric_status,backup_finger
Namrata Prasad Patel,Namrata,Prasad,Patel,Male,2003-12-09,UGF23AI100,A01,EN2423AI100,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9826600539,namrata.patel79@jit.edu,Mr. Harsh Patel,9553035110,BIO0100,Right Index,FP-UGF23AI100-F01,20,ZKTeco SF100,2024-06-19,Active,Right Little
Jatin Kumar Ambhore,Jatin,Kumar,Ambhore,Female,2003-04-23,UGF23AI101,B01,EN2423AI101,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9582334538,jatin.ambhore85@jit.edu,Dr. Ramesh Ambhore,9106977991,BIO0101,Right Ring,FP-UGF23AI101-F03,66,Secugen Hamster Pro,2024-06-06,Active,Left Middle
Mohit Shankar Gaikwad,Mohit,Shankar,Gaikwad,Male,2003-02-03,UGF23AI102,C01,EN2423AI102,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9748245888,mohit.gaikwad43@jit.edu,Mr. Firoz Gaikwad,9593303705,BIO0102,Right Middle,FP-UGF23AI102-F02,52,ZKTeco K40,2024-06-14,Active,Left Middle
Suresh Londhe,Suresh,,Londhe,Female,2003-10-07,UGF23AI103,A02,EN2423AI103,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9930075810,suresh.londhe47@jit.edu,Mr. Amol Londhe,9349957310,BIO0103,Right Thumb,FP-UGF23AI103-F00,24,ZKTeco K40,2024-06-04,Active,Left Ring
Anjali Nath More,Anjali,Nath,More,Female,2003-06-07,UGF23AI104,B02,EN2423AI104,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9781802744,anjali.more31@jit.edu,Mrs. Neha More,9596348124,BIO0104,Right Thumb,FP-UGF23AI104-F00,42,Mantra MFS100,2024-06-05,Active,Left Little
Vikas Raj Mukherjee,Vikas,Raj,Mukherjee,Male,2003-01-26,UGF23AI105,C02,EN2423AI105,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9326541099,vikas.mukherjee82@jit.edu,Dr. Rahul Mukherjee,9803771909,BIO0105,Right Middle,FP-UGF23AI105-F02,49,Startek FM220U,2024-06-16,Active,Left Ring
Manish Das Ambhore,Manish,Das,Ambhore,Female,2003-09-09,UGF23AI106,A03,EN2423AI106,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9528853029,manish.ambhore56@jit.edu,Mrs. Manish Ambhore,9647099690,BIO0106,Right Ring,FP-UGF23AI106-F03,49,Secugen Hamster Pro,2024-06-03,Active,Right Thumb
Mohit Nath Gangurde,Mohit,Nath,Gangurde,Male,2003-10-03,UGF23AI107,B03,EN2423AI107,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9668132202,mohit.gangurde42@jit.edu,Mr. Vidya Gangurde,9873869166,BIO0107,Right Little,FP-UGF23AI107-F04,25,Startek FM220U,2024-06-14,Active,Left Little
Kamla Ram Mehta,Kamla,Ram,Mehta,Male,2003-05-14,UGF23AI108,C03,EN2423AI108,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9637500247,kamla.mehta32@jit.edu,Mr. Dayanand Mehta,9771410971,BIO0108,Right Thumb,FP-UGF23AI108-F00,37,Startek FM220U,2024-06-21,Active,Left Little
Mohit Rao Agarwal,Mohit,Rao,Agarwal,Male,2003-09-25,UGF23AI109,A04,EN2423AI109,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9624636385,mohit.agarwal12@jit.edu,Mr. Mithun Agarwal,9489747629,BIO0109,Right Little,FP-UGF23AI109-F04,71,ZKTeco K40,2024-06-10,Active,Right Ring
